controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
full,289.49159898483373,123688.46300733314,98.52847089141552,538.9056363251499,43.45238095238095,9715.829107736095,508.76774223161044,29772.369173151666,91,60,34.065934065934066,1.675728020939229,0.6666666666666666,33.33333333333333,27.472527472527474,1605.9790130743816,6.4147805690377915,4.644575703537789,5.433705171658165,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470601781587072,0.9070144986250792,0.43187820046723646,3.384343642755092,3294.9312613301813,1688.9522482557998,20260001
nocert,290.7834921214203,125389.16208055265,98.59323985743993,538.9056363251499,52.14285714285714,9495.07745998031,501.6402476056821,29480.431303354126,91,86,5.494505494505497,1.5431342674767496,0.6162790697674418,38.372093023255815,4.395604395604396,2297.4281205294287,6.4147805690377915,6.024624216258158,5.51007869058407,94.5054945054945,5.494505494505497,61.627906976744185,57.14285714285714,0.8589660443226312,0.9145929249759864,0.5145455324294494,3.581114212618789,4309.668684851739,2012.2405643223108,20260001
norisk,289.49159898483373,123688.46300733314,98.52847089141552,538.9056363251499,43.45238095238095,9715.829107736095,508.76774223161044,29772.369173151666,91,60,34.065934065934066,1.675728020939229,0.6666666666666666,33.33333333333333,27.472527472527474,1605.9790130743816,6.4147805690377915,4.644575703537789,5.433705171658165,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470601781587072,0.9070144986250792,0.43187820046723646,3.384343642755092,3294.9312613301813,1688.9522482557998,20260001
noinfo,289.48800755086586,123686.3167860195,98.52847089026129,538.9056363251499,43.45238095238095,9716.53722248853,508.76774262742987,29772.421809819894,91,58,36.26373626373627,1.7206804356107197,0.6896551724137931,31.03448275862069,29.67032967032967,1598.874335220176,6.4147805690377915,4.453264104890621,5.407814785157803,63.73626373626373,36.26373626373627,68.96551724137932,59.34065934065934,0.8430241263839471,0.9098398704933623,0.40150686842419847,3.509583447043125,3169.052981379095,1570.1786461589188,20260001
nobins,289.5866962934875,123772.16041815335,98.56455737455491,538.9056363251499,43.45238095238095,9715.827568355737,509.6430066101614,29838.403385568516,91,61,32.96703296703297,1.673911065356582,0.6557377049180327,34.42622950819672,29.67032967032967,1681.605102164,6.4147805690377915,4.818293383799913,5.4449686562545505,67.03296703296702,32.96703296703297,65.57377049180327,60.43956043956044,0.8488160425215119,0.907702590233966,0.44471599881755014,3.4054762713390385,3420.7623118254905,1739.1572096614905,20260001
full,298.06197707044953,120814.34509563238,97.60979566965254,569.6707171834688,52.14285714285714,14994.650407317613,493.3870757244381,29720.92839890525,92,62,32.608695652173914,1.8282370854759091,0.7580645161290323,24.193548387096776,23.91304347826087,2454.794377667115,7.265414529937883,4.998268532176912,5.860703090357679,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.806657771033993,0.9379879041795505,0.3099531071536921,4.448350914074884,3666.9324217145895,1212.1380440474745,20260003
nocert,297.98611194237816,123818.11364942575,97.7022679587172,554.2918736471063,52.14285714285714,17280.407757589775,486.75491463771505,29345.718886186787,92,85,7.608695652173914,1.6884214038652368,0.7647058823529411,23.52941176470588,3.260869565217391,3221.2654379986584,7.265414529937883,6.573142153399099,6.426331735622504,92.3913043478261,7.608695652173914,76.47058823529412,69.56521739130434,0.88450999033051,0.937761139514168,0.4091048774389482,4.522548617098125,4821.157726554545,1599.8922885558866,20260003
norisk,298.06197707044953,120814.34509563238,97.60979566965254,569.6707171834688,52.14285714285714,14994.650407317613,493.3870757244381,29720.92839890525,92,62,32.608695652173914,1.8282370854759091,0.7580645161290323,24.193548387096776,23.91304347826087,2454.794377667115,7.265414529937883,4.998268532176912,5.860703090357679,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.806657771033993,0.9379879041795505,0.3099531071536921,4.448350914074884,3666.9324217145895,1212.1380440474745,20260003
noinfo,297.91042518404294,120705.81165923677,97.69144796981047,569.6707171835751,52.14285714285714,15076.274061461854,494.3369562878495,29700.093352528736,92,58,36.95652173913043,1.8892657176780208,0.7758620689655172,22.413793103448278,26.08695652173913,2172.911194408933,7.265414529937883,4.609350665225793,5.820817791053546,63.04347826086957,36.95652173913043,77.58620689655173,61.95652173913043,0.8011680224257366,0.9337867919859377,0.3051998944063525,4.517151057341915,3366.4607814623473,1193.5495870534141,20260003
nobins,297.9274812134629,120947.14307492778,97.60598261700957,569.6707171834689,52.14285714285714,14952.273407298591,493.080455263728,29585.938599198023,92,64,30.434782608695656,1.804087320259688,0.765625,23.4375,21.73913043478261,2600.533790434891,7.265414529937883,5.226059383948308,5.908092873380035,69.56521739130434,30.434782608695656,76.5625,63.04347826086957,0.8131804247417865,0.9393687206350032,0.31686266648623257,4.566602292272555,3839.6931468721223,1239.1593564372308,20260003
full,293.09346062104277,119818.01393564885,97.90406787845049,543.4287261546592,26.07142857142857,7185.006963874007,492.70932044879635,29983.752245516152,92,70,23.913043478260864,1.9807094116024941,0.8142857142857143,18.571428571428573,17.391304347826086,2828.394383706487,6.856879703655904,5.472330071952745,5.967426035572533,76.08695652173914,23.913043478260864,81.42857142857143,65.21739130434783,0.8702830286479812,0.9434695991739448,0.3093530124199654,5.9651334725626075,4038.1856287059945,1209.7912449995074,20260005
nocert,294.91350568207065,121211.82289195414,97.95542686086492,543.428725764308,34.76190476190476,7349.320746509059,486.92803910223665,29886.469868935015,92,86,6.521739130434778,1.829812330487239,0.7790697674418605,22.093023255813954,6.521739130434782,2960.3251390568685,6.856879703655904,6.44761902391395,6.042005963151408,93.47826086956522,6.521739130434778,77.90697674418605,70.65217391304348,0.8811596854951345,0.9311702396060338,0.44378807252757374,6.1527305204506195,4695.853494120058,1735.5283550631898,20260005
norisk,293.09346062104277,119818.01393564885,97.90406787845049,543.4287261546592,26.07142857142857,7185.006963874007,492.70932044879635,29983.752245516152,92,70,23.913043478260864,1.9807094116024941,0.8142857142857143,18.571428571428573,17.391304347826086,2828.394383706487,6.856879703655904,5.472330071952745,5.967426035572533,76.08695652173914,23.913043478260864,81.42857142857143,65.21739130434783,0.8702830286479812,0.9434695991739448,0.3093530124199654,5.9651334725626075,4038.1856287059945,1209.7912449995074,20260005
noinfo,293.6682729589464,119949.49595523236,97.92036206944088,543.4287261546714,26.07142857142857,6277.5206575274315,491.83452014712435,29906.01836025109,92,69,25.0,2.0067631228485836,0.8260869565217391,17.391304347826086,17.391304347826086,3134.756636581194,6.856879703655904,5.416213335111159,5.9271141706286805,75.0,25.0,82.6086956521739,67.3913043478261,0.8644039893930912,0.95666390214371,0.2347175511009203,6.001702093139032,4052.6699167794354,917.9132801982419,20260005
nobins,293.4112795299908,120655.10930367805,97.88471878716317,543.4287261546715,26.07142857142857,7184.866917801857,488.0910323139152,30113.510305086606,92,73,20.65217391304348,1.994229901514153,0.821917808219178,17.80821917808219,18.478260869565215,3029.3786582428565,6.856879703655904,5.74226828518196,5.977084430996836,79.34782608695652,20.65217391304348,82.1917808219178,67.3913043478261,0.8716915987034183,0.9457505292575185,0.31151501533245757,6.331297539854963,4247.624878918004,1218.2462206751466,20260005
full,294.0881487635798,118403.50058513402,97.49164899529417,552.4678282832832,52.14285714285714,15581.6054174878,497.9430186607265,30148.068566552134,92,62,32.608695652173914,1.7317308003758352,0.8387096774193549,16.129032258064516,21.73913043478261,2708.370968635097,7.599725271487137,5.661907414377325,6.3808972154275825,67.3913043478261,32.608695652173914,83.87096774193549,66.30434782608695,0.839622089941542,0.9352647482374381,0.3665250019260326,4.036029991517356,4141.745529738689,1433.3745611035915,20260007
nocert,293.263893672664,118726.51864626449,97.42870149909454,552.4678282832815,60.83333333333333,18419.689089673433,489.6217438455636,29442.27392692512,92,85,7.608695652173914,1.6382171708602307,0.8235294117647058,17.647058823529413,5.434782608695652,3602.575382249234,7.599725271487137,7.0658155557712705,6.747852724865446,92.3913043478261,7.608695652173914,82.35294117647058,72.82608695652173,0.8879074550473856,0.9419792595262566,0.40996385059674484,4.605712606124751,5205.826869404361,1603.251487155127,20260007
norisk,294.0881487635798,118403.50058513402,97.49164899529417,552.4678282832832,52.14285714285714,15581.6054174878,497.9430186607265,30148.068566552134,92,62,32.608695652173914,1.7317308003758352,0.8387096774193549,16.129032258064516,21.73913043478261,2708.370968635097,7.599725271487137,5.661907414377325,6.3808972154275825,67.3913043478261,32.608695652173914,83.87096774193549,66.30434782608695,0.839622089941542,0.9352647482374381,0.3665250019260326,4.036029991517356,4141.745529738689,1433.3745611035915,20260007
noinfo,294.549738722551,118154.80605731433,97.53060381510707,522.7898422203116,26.07142857142857,13493.383121579807,503.342878250345,30261.243645629605,92,57,38.04347826086957,1.7557653743210833,0.8421052631578947,15.789473684210526,26.08695652173913,2632.4664547762172,7.599725271487137,5.348070412732489,6.284815092740567,61.95652173913043,38.04347826086957,84.21052631578947,64.13043478260869,0.826979248357847,0.938221959075619,0.33039331282425743,3.9383502038794065,3924.54030314251,1292.0738483662924,20260007
nobins,293.9321392119841,118373.13251628516,97.49164897729412,552.4678282832815,52.14285714285714,15577.135620439598,497.90176572468397,30147.708126906695,92,60,34.78260869565217,1.7113686243567152,0.8333333333333334,16.666666666666664,23.91304347826087,2705.1716788915146,7.599725271487137,5.657816998267177,6.380897216432913,65.21739130434783,34.78260869565217,83.33333333333334,66.30434782608695,0.8396220900738272,0.9352179467737559,0.36652500192609394,3.933614478350516,4138.546239995346,1433.3745611038314,20260007
full,281.84206572651595,119189.61709069625,97.62150861080664,552.069569937294,43.45238095238095,13521.054137121831,476.48064847034505,30229.294814152337,92,68,26.086956521739136,1.7816498048179499,0.7794117647058824,22.058823529411764,25.0,1800.378570680595,6.902442162506743,5.4737988642928235,5.61801527668941,73.91304347826086,26.086956521739136,77.94117647058823,60.86956521739131,0.8139170375386571,0.9034203648261501,0.5286574973284336,4.158317443292093,3867.806997732862,2067.4284270522667,20260009
nocert,283.0607036594999,120130.23905333695,97.62963328602969,552.0695570747605,43.45238095238095,13328.484347464502,471.2222155851846,29881.376653915857,92,85,7.608695652173914,1.6633415710059036,0.7176470588235294,28.235294117647058,7.608695652173914,2120.932914954337,6.902442162506743,6.50310836554931,5.877921924556409,92.3913043478261,7.608695652173914,71.76470588235294,65.21739130434783,0.8515713404285504,0.9028307413074587,0.63190221907769,4.219582511710759,4592.121950276018,2471.1890353216804,20260009
norisk,281.84206572651595,119189.61709069625,97.62150861080664,552.069569937294,43.45238095238095,13521.054137121831,476.48064847034505,30229.294814152337,92,68,26.086956521739136,1.7816498048179499,0.7794117647058824,22.058823529411764,25.0,1800.378570680595,6.902442162506743,5.4737988642928235,5.61801527668941,73.91304347826086,26.086956521739136,77.94117647058823,60.86956521739131,0.8139170375386571,0.9034203648261501,0.5286574973284336,4.158317443292093,3867.806997732862,2067.4284270522667,20260009
