controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
B1,342.35301570940584,142880.52677079148,98.8938365401934,428.4773493359754,1025.4761904761904,0.0,0.0,16816.090063571824,91,91,0.0,0.0,0.0,100.0,0.0,-25086.374011058506,6.4147805690377915,6.4147805690377915,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.4147805690377915,0.0,0.0,25086.374011058506,20260001
B2,341.0589342973338,137365.36605168416,99.11206132356422,401.46192599227766,1025.4761904761904,385.72879174108255,223.56249999999997,21029.94212855416,91,91,0.0,0.47208851552400355,0.16483516483516483,83.51648351648352,0.0,-12958.87615831321,6.4147805690377915,6.4147805690377915,2.5842461177843847,100.0,0.0,16.483516483516482,16.483516483516482,0.4028580697300482,0.4028580697300482,3.8305344512534063,0.48254641675753474,2021.249642124215,14980.125800437427,20260001
B3,323.8709778146634,139891.8049542918,90.6664290259578,619.3175698656935,2711.428571428571,11579.401701779614,293.0172240497075,26350.353446719542,91,91,0.0,0.5528352900119688,0.25274725274725274,74.72527472527473,0.0,-13278.236168295945,6.4147805690377915,6.4147805690377915,2.5161937564486423,100.0,0.0,25.274725274725274,25.274725274725274,0.39224938863747727,0.39224938863747727,3.8985868125891483,1.1675548454267928,1968.0229737937593,15246.259142089704,20260001
B4,285.7328291584221,120811.45223467983,99.86283214462188,538.8537802367899,112.97619047619047,8372.8116161068,444.03220589238197,26804.206168778594,91,91,0.0,1.5925376134250506,0.8461538461538461,15.384615384615385,0.0,2917.5113483690425,6.4147805690377915,6.4147805690377915,5.967342390136769,100.0,0.0,84.61538461538461,84.61538461538461,0.9302488722590649,0.9302488722590649,0.447438178901023,3.9993427617700257,4667.314226571258,1749.802878202215,20260001
B5,290.0583689321646,124752.44417530468,98.59323982781665,538.9056363251499,52.14285714285714,11159.409581311538,498.22632392250017,29292.88605200449,91,91,0.0,1.4689512351882692,0.5934065934065934,40.65934065934066,0.0,1192.6349907285473,6.4147805690377915,6.4147805690377915,5.599788828386892,100.0,0.0,59.34065934065934,59.34065934065934,0.8729509557061672,0.8729509557061672,0.8149917406509004,3.5838830262052137,4379.834833631176,3187.199842902628,20260001
B6,295.16205399910154,125105.82073329067,90.16530941542001,488.30559221402416,112.97619047619047,25873.949273847484,532.2897399991875,29198.350903793762,91,91,0.0,1.8004712059615509,0.8241758241758241,17.582417582417584,0.0,2760.632525042884,6.4147805690377915,6.4147805690377915,5.93391311271567,100.0,0.0,82.41758241758241,82.41758241758241,0.9250375829466211,0.9250375829466211,0.48086745632212247,5.447093378460869,4641.167756016898,1880.5352309740144,20260001
P,289.49159898483373,123688.46300733314,98.52847089141552,538.9056363251499,43.45238095238095,9715.829107736095,508.76774223161044,29772.369173151666,91,60,34.065934065934066,1.675728020939229,0.6666666666666666,33.33333333333333,27.472527472527474,1605.9790130743816,6.4147805690377915,4.644575703537789,5.433705171658165,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470601781587072,0.9070144986250792,0.43187820046723646,3.384343642755092,3294.9312613301813,1688.9522482557998,20260001
B1,356.86689674574177,144710.1479467072,96.0430309452767,384.9717948399963,1807.6190476190475,114.50501484681747,0.0,17194.53188464207,92,92,0.0,0.0,0.0,100.0,0.0,-28412.960393864218,7.265414529937883,7.265414529937883,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.265414529937883,0.0,0.0,28412.960393864218,20260003
B2,353.9103276399974,138595.1898854332,97.69192064153857,451.09358081026176,1807.6190476190475,1095.9855953766237,223.56249999999997,21400.211997281993,92,92,0.0,0.48350879080429293,0.20652173913043478,79.34782608695652,0.0,-13681.638316992085,7.265414529937883,7.265414529937883,3.1390945064872118,100.0,0.0,20.652173913043477,20.652173913043477,0.43205993182525954,0.43205993182525954,4.12632002345067,0.463546503754547,2455.2203461453546,16136.858663137438,20260003
B3,334.09529330195954,138760.67952959047,87.84319147611987,543.8630761449866,3102.4999999999995,13573.840900015739,278.77942251461985,26491.82154348397,92,92,0.0,0.5967052696922848,0.2608695652173913,73.91304347826086,0.0,-12202.130294706196,7.265414529937883,7.265414529937883,3.454362578207188,100.0,0.0,26.08695652173913,26.08695652173913,0.47545292343239803,0.47545292343239803,3.8110519517306933,1.7128784385340543,2701.805016526336,14903.935311232533,20260003
B4,291.30899572444474,119599.17951157106,99.2205497335116,521.6773071843686,156.42857142857142,18384.552959861376,479.7259440888442,28359.411302192766,92,92,0.0,1.5328074208119566,0.7934782608695652,20.652173913043477,0.0,2920.483514533022,7.265414529937883,7.265414529937883,6.676837362519959,100.0,0.0,79.34782608695652,79.34782608695652,0.9189891829306324,0.9189891829306324,0.5885771674179221,4.3966459932647535,5222.240651399539,2301.7571368665167,20260003
B5,295.18438411999415,122026.3913101711,97.70173337029591,554.2918736471063,104.28571428571428,24430.79521214027,482.1113641050931,28985.16175280104,92,92,0.0,1.5639199492168798,0.7065217391304348,29.347826086956523,0.0,2214.617036158956,7.265414529937883,7.265414529937883,6.526424414312396,100.0,0.0,70.65217391304348,70.65217391304348,0.8982865860467559,0.8982865860467559,0.7389901156254858,4.476531150820912,5104.596238337195,2889.979202178239,20260003
B6,300.47655263107737,124112.79331984895,89.47745363794347,516.5431304385186,191.19047619047618,37886.83171320751,513.4489821576373,29166.586352993156,92,92,0.0,1.804043620471755,0.8260869565217391,17.391304347826086,0.0,3095.222082439973,7.265414529937883,7.265414529937883,6.714072369379888,100.0,0.0,82.6086956521739,82.6086956521739,0.9241141495387314,0.9241141495387314,0.5513421605579936,6.073659432947821,5251.363746050698,2156.1416636107247,20260003
P,298.06197707044953,120814.34509563238,97.60979566965254,569.6707171834688,52.14285714285714,14994.650407317613,493.3870757244381,29720.92839890525,92,62,32.608695652173914,1.8282370854759091,0.7580645161290323,24.193548387096776,23.91304347826087,2454.794377667115,7.265414529937883,4.998268532176912,5.860703090357679,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.806657771033993,0.9379879041795505,0.3099531071536921,4.448350914074884,3666.9324217145895,1212.1380440474745,20260003
B1,345.8909914790062,145967.56665201118,98.11722419430569,438.72108205597584,1555.595238095238,377.32157092332665,0.0,17960.888272706015,92,92,0.0,0.0,0.0,100.0,0.0,-26815.29741251148,6.856879703655904,6.856879703655904,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.856879703655904,0.0,0.0,26815.29741251148,20260005
B2,343.92932674233913,139272.30031221494,99.08012843911912,388.8430804752202,1555.595238095238,1632.7381993922324,223.56249999999997,22193.687687073743,92,92,0.0,0.6074061476553835,0.2717391304347826,72.82608695652173,0.0,-9533.763643359054,6.856879703655904,6.856879703655904,3.6825186113871236,100.0,0.0,27.173913043478258,27.173913043478258,0.5370545744624488,0.5370545744624488,3.1743610922687813,0.6796326459857396,2880.2556281920715,12414.019271551126,20260005
B3,324.5611357819582,140717.99583103834,88.4135817367469,612.0744395100737,3224.1666666666665,14809.830744442346,314.60691115810357,28123.641967100903,92,92,0.0,0.8854132138335624,0.42391304347826086,57.608695652173914,0.0,-9263.050402044148,6.856879703655904,6.856879703655904,3.740204842413131,100.0,0.0,42.391304347826086,42.391304347826086,0.5454674726784188,0.5454674726784188,3.1166748612427737,2.1810717204335286,2925.3745017445563,12188.424903788704,20260005
B4,289.19392229289826,117084.99579862946,99.78720506077741,557.594696777081,34.76190476190476,8252.03930436161,432.6885353892073,27036.043922407378,92,92,0.0,1.7499385721235334,0.7717391304347826,22.82608695652174,0.0,2289.7429921327603,6.856879703655904,6.856879703655904,6.201987300837434,100.0,0.0,77.17391304347827,77.17391304347827,0.9044911926237674,0.9044911926237674,0.6548924028184704,6.0835789022015785,4850.840067440707,2561.0970753079464,20260005
B5,294.30300453561466,120907.96062318319,97.95549802009069,543.4287257643139,34.76190476190476,8791.06744473634,489.82663649313554,29969.516891756022,92,92,0.0,1.7565033089986772,0.717391304347826,28.26086956521739,0.0,1906.6096562788246,6.856879703655904,6.856879703655904,6.120345494110567,100.0,0.0,71.73913043478261,71.73913043478261,0.8925846388769754,0.8925846388769754,0.7365342095453363,6.184720144591185,4786.984511465051,2880.374855186226,20260005
