controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
B1,414.18247004210514,161148.3536525361,98.8386900559729,458.4268616481671,147.73809523809524,0.0,0.0,16816.090063571824,92,92,0.0,0.0,0.0,100.0,0.0,-28771.210066140717,7.357021752072513,7.357021752072513,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.357021752072513,0.0,0.0,28771.210066140717,20260001
B2,412.74113371640465,155598.72609178245,99.26324693990185,364.48376514926883,147.73809523809524,385.72879174108255,223.56249999999997,21029.94212855416,92,92,0.0,0.5196419082378431,0.2391304347826087,76.08695652173914,0.0,-13925.14356947564,7.357021752072513,7.357021752072513,3.163545372196515,100.0,0.0,23.91304347826087,23.91304347826087,0.4300035365948629,0.4300035365948629,4.193476379875997,0.5842420146923398,2474.344416110845,16399.487985586486,20260001
B3,394.4189106653556,157281.3911283247,91.2414242496623,473.8003419389599,451.90476190476187,11579.401701779614,293.0172240497075,26350.353446719542,92,92,0.0,0.8069107261570934,0.32608695652173914,67.3913043478261,0.0,-12597.068853649263,7.357021752072513,7.357021752072513,3.4465445506070056,100.0,0.0,32.608695652173914,32.608695652173914,0.4684700775332213,0.4684700775332213,3.9104772014655054,2.1654780021875606,2695.6902020819075,15292.759055731172,20260001
B4,342.5800295989813,131983.39461966345,99.80721623610248,589.4129603608353,225.95238095238093,7817.8185105458215,468.0557477162663,27435.792106178604,92,92,0.0,1.688939903925457,0.9239130434782609,7.608695652173914,0.0,4865.822464141799,7.357021752072513,7.357021752072513,7.167708606148483,100.0,0.0,92.3913043478261,92.3913043478261,0.974267692511484,0.974267692511484,0.18931314592403067,4.958962869130483,5606.172088380419,740.3496242386199,20260001
B5,347.9770138639047,137067.0142052477,98.88558704906995,587.0357882661458,165.1190476190476,9503.58434940911,506.66171635651864,30807.62486220973,92,92,0.0,1.712875540257135,0.7934782608695652,20.652173913043477,0.0,3739.3518131547094,7.357021752072513,7.357021752072513,6.927669198023379,100.0,0.0,79.34782608695652,79.34782608695652,0.941640439770593,0.941640439770593,0.4293525540491335,5.489860026698734,5418.426979882571,1679.0751667278612,20260001
B6,354.20918995842925,138517.98777773295,90.77072149650178,535.1189206110722,252.02380952380952,20759.34730214682,562.6169926996859,30704.900613306494,92,92,0.0,1.9434418832209046,0.9130434782608695,8.695652173913043,0.0,4823.615915518414,7.357021752072513,7.357021752072513,7.158714821053696,100.0,0.0,91.30434782608695,91.30434782608695,0.9730452161619676,0.9730452161619676,0.19830693101881616,7.016591039611305,5599.137663609855,775.5217480914416,20260001
P,347.4465252013069,135289.93463058656,98.89230011370148,587.0357882661458,78.21428571428571,8578.302671312156,507.2887633383916,31057.29889180644,92,63,31.521739130434778,2.0216537715041922,0.8412698412698413,15.873015873015872,25.0,2424.148714393455,7.357021752072513,4.722304520987648,6.549164215888236,68.47826086956522,31.521739130434778,84.12698412698413,79.34782608695652,0.8901923137638272,0.9427208934938831,0.27048938361196934,5.133326191929406,3481.955411018835,1057.80669662538,20260001
B1,431.12549518671887,162570.5033487007,95.87718907205715,480.2474187452215,199.88095238095235,114.50501484681747,0.0,17194.53188464207,92,92,0.0,0.0,0.0,100.0,0.0,-30886.875741794644,7.898013888312787,7.898013888312787,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.898013888312787,0.0,0.0,30886.875741794644,20260003
B2,428.1714980048042,156452.01726272263,97.49526441186106,417.8711813447201,199.88095238095235,1095.9855953766237,223.56249999999997,21400.211997281993,92,92,0.0,0.5090855578681935,0.2391304347826087,76.08695652173914,0.0,-14972.748264461403,7.898013888312787,7.898013888312787,3.3911382752308286,100.0,0.0,23.91304347826087,23.91304347826087,0.4293659549331662,0.4293659549331662,4.5068756130819585,0.7192705740756442,2652.3545795555406,17625.102844016943,20260003
B3,407.09986125516116,157435.467673837,89.17445020255356,433.3531121819102,347.6190476190476,13573.840900015739,278.77942251461985,26491.82154348397,92,92,0.0,0.6202646643595396,0.2717391304347826,72.82608695652173,0.0,-15843.219153706641,7.898013888312787,7.898013888312787,3.2056498056808524,100.0,0.0,27.173913043478258,27.173913043478258,0.4058804974278995,0.4058804974278995,4.692364082631933,1.5956074276188845,2507.276098014666,18350.495251721306,20260003
