controller,metric,mean,ci_lo,ci_hi,n
B1,CO2_t_per_yr,342.04230159445075,339.8220333261127,344.72325026395197,30
B1,cost_per_yr,142978.27338697415,142347.69422210436,143571.11332017343,30
B1,peak_kW,401.40576711270046,394.7919148451304,408.8443585249788,30
B1,comfort_viol_h,1338.3333333333333,1239.2976022144023,1446.674603174603,30
B1,EV_shortfall_kWh,402.7692912362688,240.87200420064136,716.3549470744451,30
B1,bat_cycles,0.0,0.0,0.0,30
B1,acceptance_rate_pct,100.0,100.0,100.0,30
B1,abstention_rate_pct,0.0,0.0,0.0,30
B1,cond_delivery_rate_pct,0.0,0.0,0.0,30
B1,uncond_service_rate_pct,0.0,0.0,0.0,30
B1,delivered_frac_of_requested,0.0,0.0,0.0,30
B1,delivered_frac_of_accepted,0.0,0.0,0.0,30
B1,shortfall_MWh,7.2699876479058325,7.059034724999822,7.476372086986067,30
B1,overdelivery_MWh,0.0,0.0,0.0,30
B1,false_activation_pct,100.0,100.0,100.0,30
B1,net_service_benefit,-28430.84455163173,-29250.283602796022,-27597.188107742943,30
B1,requested_MWh,7.2699876479058325,7.051522251577626,7.477965418736103,30
B1,accepted_MWh,7.2699876479058325,7.053392463672011,7.473530103052523,30
B1,delivered_MWh,0.0,0.0,0.0,30
B1,service_revenue_yr,0.0,0.0,0.0,30
B1,service_penalty_yr,28430.84455163173,27574.731791806214,29185.3670051604,30
B2,CO2_t_per_yr,340.86238805760837,338.6590848230482,343.4235563479887,30
B2,cost_per_yr,137192.7144074956,136604.02902502476,137719.32620137848,30
B2,peak_kW,426.5451070929203,417.1018732249807,437.077109951148,30
B2,comfort_viol_h,1338.3333333333333,1241.5793650793648,1449.5115379256183,30
B2,EV_shortfall_kWh,1120.9627897433738,785.8252650917229,1597.2241996779098,30
B2,bat_cycles,223.5625,223.5625,223.5625,30
B2,acceptance_rate_pct,100.0,100.0,100.0,30
B2,abstention_rate_pct,0.0,0.0,0.0,30
B2,cond_delivery_rate_pct,19.550068804343354,17.96343829670194,21.257138271586776,30
B2,uncond_service_rate_pct,19.550068804343354,17.901454625286895,21.223235393186126,30
B2,delivered_frac_of_requested,0.44185330205559176,0.4252196135554781,0.4601550500992615,30
B2,delivered_frac_of_accepted,0.44185330205559176,0.42581815737633705,0.4601023666856029,30
B2,shortfall_MWh,4.053178253232862,3.8801057004817663,4.184822177721906,30
B2,overdelivery_MWh,0.5754714203782529,0.5079485484541999,0.6398089675508107,30
B2,false_activation_pct,80.44993119565665,78.68366873781801,82.00111094382385,30
B2,net_service_benefit,-13334.817606630728,-13914.526679830778,-12626.360854956121,30
B2,requested_MWh,7.2699876479058325,7.051585404081398,7.477597811669744,30
B2,accepted_MWh,7.2699876479058325,7.06339444251173,7.477082817070211,30
B2,delivered_MWh,3.2168093946729694,3.0620702874810357,3.3911352578292804,30
B2,service_revenue_yr,2516.004490833501,2387.5982051456335,2647.441455202048,30
B2,service_penalty_yr,15850.822097464228,15172.677705690005,16393.55876251019,30
B3,CO2_t_per_yr,322.38572120793975,320.32021373783664,324.69947658583504,30
B3,cost_per_yr,139466.99338641757,138737.675492367,140137.20999089058,30
B3,peak_kW,541.7179578842154,528.3331193711476,555.2941428913034,30
B3,comfort_viol_h,2928.1111111111113,2818.7429145486058,3031.672585777445,30
B3,EV_shortfall_kWh,13346.753205107905,12509.46679784023,14443.99490417849,30
B3,bat_cycles,301.33376518553325,293.6639207597359,307.9805153179637,30
B3,acceptance_rate_pct,100.0,100.0,100.0,30
B3,abstention_rate_pct,0.0,0.0,0.0,30
B3,cond_delivery_rate_pct,31.62024307090257,29.61438307300319,33.6958394529093,30
B3,uncond_service_rate_pct,31.62024307090257,29.628024366600716,33.681117703323245,30
B3,delivered_frac_of_requested,0.472764368285819,0.457163914593933,0.48752133057958014,30
B3,delivered_frac_of_accepted,0.472764368285819,0.458125773097135,0.4879001228009482,30
B3,shortfall_MWh,3.8378321556975816,3.668246471098952,3.992160285923975,30
B3,overdelivery_MWh,1.5792233727536127,1.4582189518385293,1.698563695283918,30
B3,false_activation_pct,68.37975692909741,66.3929256409514,70.38650383867596,30
B3,net_service_benefit,-12324.229134625873,-12972.620446287214,-11630.742982737624,30
B3,requested_MWh,7.2699876479058325,7.052027949613605,7.467051640937093,30
B3,accepted_MWh,7.2699876479058325,7.05289130466668,7.468850497661004,30
B3,delivered_MWh,3.4321554922082513,3.2942340262725787,3.5582164324218772,30
B3,service_revenue_yr,2684.435902834311,2570.3324606960546,2778.988996848445,30
B3,service_penalty_yr,15008.665037460181,14309.011308823186,15609.714931508723,30
B4,CO2_t_per_yr,283.95864802900206,281.7944057916661,286.2827540218711,30
B4,cost_per_yr,117413.35921942302,116671.04810726354,118113.44243975366,30
B4,peak_kW,536.4243153182457,530.8332498187161,541.0911048872763,30
B4,comfort_viol_h,55.90873015873016,42.003968253968246,73.8690476190476,30
B4,EV_shortfall_kWh,7446.895830163485,6365.151118990355,8895.429912720796,30
B4,bat_cycles,453.73506826498243,447.884949546752,459.98020873348196,30
B4,acceptance_rate_pct,100.0,100.0,100.0,30
B4,abstention_rate_pct,0.0,0.0,0.0,30
B4,cond_delivery_rate_pct,84.73146463082955,83.03052020465094,86.01953571912189,30
B4,uncond_service_rate_pct,84.73146463082955,83.03750126881243,86.04234142639451,30
B4,delivered_frac_of_requested,0.9324234442447092,0.9238881699271317,0.9398831270138879,30
B4,delivered_frac_of_accepted,0.9324234442447092,0.9234745452645424,0.9397057927435003,30
B4,shortfall_MWh,0.48935079042970864,0.43721224957104116,0.557291080868168,30
B4,overdelivery_MWh,5.37260113106039,5.040866951752272,5.7088279369695885,30
B4,false_activation_pct,15.268535369170444,13.938376435524157,16.90930417825816,30
B4,net_service_benefit,3389.715558095499,3069.4714766604798,3693.4982881430024,30
B4,requested_MWh,7.2699876479058325,7.059851185023669,7.470635598151372,30
B4,accepted_MWh,7.2699876479058325,7.062631352309918,7.474841684127445,30
B4,delivered_MWh,6.780636857476123,6.568164481926567,6.991738789775506,30
B4,service_revenue_yr,5303.42668495454,5143.333408350032,5470.819889051598,30
B4,service_penalty_yr,1913.7111268590395,1713.4020401776315,2181.5947394581813,30
B5,CO2_t_per_yr,288.1894416748473,286.115033925152,290.74287071133057,30
B5,cost_per_yr,120671.52544452832,119903.98262526032,121494.07692788391,30
B5,peak_kW,540.4217290451148,535.4234751064382,545.1801218281844,30
B5,comfort_viol_h,62.86111111111111,49.78507949177549,77.05555555555556,30
B5,EV_shortfall_kWh,12583.094601725974,11099.36423081309,14318.872364858618,30
B5,bat_cycles,482.5866114404079,478.4060538142746,486.81130557318465,30
B5,acceptance_rate_pct,100.0,100.0,100.0,30
B5,abstention_rate_pct,0.0,0.0,0.0,30
B5,cond_delivery_rate_pct,72.67656938223621,70.9420336798062,74.30038895462957,30
B5,uncond_service_rate_pct,72.67656938223621,70.86960356347956,74.31976976173803,30
B5,delivered_frac_of_requested,0.9107027934571666,0.9017941844580517,0.9182508388617091,30
B5,delivered_frac_of_accepted,0.9107027934571666,0.902047233241307,0.9185803768365397,30
B5,shortfall_MWh,0.6465412724158761,0.591827247046878,0.7080800462765494,30
B5,overdelivery_MWh,5.420856607488083,5.071103651846307,5.781729193171889,30
B5,false_activation_pct,27.323430617763787,25.65284919778064,29.031931060067222,30
B5,net_service_benefit,2652.043081917557,2345.3491385058223,2959.4072213051,30
B5,requested_MWh,7.2699876479058325,7.058290991085605,7.4849024295930455,30
B5,accepted_MWh,7.2699876479058325,7.061635192752748,7.471622605870052,30
B5,delivered_MWh,6.623446375489957,6.421403976733341,6.8413299008808925,30
B5,service_revenue_yr,5180.4812722582155,5007.539533435893,5340.95616799395,30
B5,service_penalty_yr,2528.438190340658,2304.2734913618096,2758.647490653987,30
B6,CO2_t_per_yr,294.94407923129796,292.7790623459001,297.467039914633,30
B6,cost_per_yr,122869.67926239973,122081.94024205078,123789.28504635692,30
B6,peak_kW,494.4852630042385,489.09052971840345,499.84228468096165,30
B6,comfort_viol_h,100.51984126984127,82.55952380952381,117.32142857142857,30
B6,EV_shortfall_kWh,24409.769398354085,22173.61781335948,26865.082286705816,30
B6,bat_cycles,526.8543132983735,521.5704340231152,532.7998234912006,30
B6,acceptance_rate_pct,100.0,100.0,100.0,30
B6,abstention_rate_pct,0.0,0.0,0.0,30
B6,cond_delivery_rate_pct,85.42390563714451,84.19276007724619,86.54257674407214,30
B6,uncond_service_rate_pct,85.42390563714451,84.20983134676527,86.55395731873159,30
B6,delivered_frac_of_requested,0.9326967152646196,0.9262996012613913,0.9390550909476392,30
B6,delivered_frac_of_accepted,0.9326967152646196,0.9258463161522203,0.938990180858372,30
B6,shortfall_MWh,0.48713910567331786,0.44346536889491966,0.5402978813913016,30
B6,overdelivery_MWh,6.972308141722037,6.669961577397913,7.254463448224881,30
B6,false_activation_pct,14.576094362855478,13.444131136983003,15.78087620012526,30
B6,net_service_benefit,3400.0946787022763,3156.701368247945,3682.887765518151,30
B6,requested_MWh,7.2699876479058325,7.056659631925035,7.470416142129772,30
B6,accepted_MWh,7.2699876479058325,7.059724289704658,7.482633147381029,30
B6,delivered_MWh,6.7828485422325135,6.566038252753571,6.987170051658803,30
B6,service_revenue_yr,5305.156538389001,5145.966006068439,5467.301627187141,30
B6,service_penalty_yr,1905.0618596867253,1733.4851567314354,2099.1273617797733,30
P,CO2_t_per_yr,288.11214613684484,285.87878761986997,290.7598750715412,30
P,cost_per_yr,119519.05224200388,118702.59626821603,120265.79995066984,30
P,peak_kW,540.9627499931711,536.1681143505648,546.3283237645113,30
P,comfort_viol_h,30.416666666666664,22.595238095238088,37.65873015873015,30
P,EV_shortfall_kWh,9876.1230150213,8735.17251920845,11151.800519671733,30
P,bat_cycles,488.75538048288206,484.40715507125526,492.89454159631595,30
P,acceptance_rate_pct,70.77047234912403,69.00033034138039,72.83942735627487,30
P,abstention_rate_pct,29.229527650875966,27.282813224712182,31.060902101794355,30
P,cond_delivery_rate_pct,78.89542339920942,77.12117991179043,80.4995883259872,30
P,uncond_service_rate_pct,65.87751017550724,64.46386928787685,67.37271981916895,30
P,delivered_frac_of_requested,0.8572376792743938,0.8453355031075708,0.8684936067130978,30
P,delivered_frac_of_accepted,0.9374729428651069,0.9286771089306122,0.9450510212943677,30
P,shortfall_MWh,0.3428775056586873,0.30346113396111213,0.3937334716278806,30
P,overdelivery_MWh,5.215263371027344,4.8617402793227456,5.55419167801932,30
P,false_activation_pct,21.10457660079056,19.458654433329702,22.88294198219952,30
P,net_service_benefit,2688.4036637214817,2433.004130031577,2932.4202591346257,30
P,requested_MWh,7.2699876479058325,7.063503485598394,7.470091747794085,30
P,accepted_MWh,5.494493462454476,5.2734582705442605,5.71701605804024,30
P,delivered_MWh,6.233074468534842,6.04421101242856,6.4417424292001275,30
