controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed
B5,274.09132061383616,113113.31001177571,99.70195222353883,523.6301636680623,17.38095238095238,5824.655316505852,440.89090469410763,27002.66497045216,92,92,0.0,1.9542787115859146,0.9130434782608695,8.695652173913043,0.0,3602.68105703705,6.285530988524038,6.285530988524038,6.005637084021458,100.0,0.0,91.30434782608695,91.30434782608695,0.95547012575173,0.95547012575173,0.27989390450258034,6.052057205356688,4697.266147859641,1094.585090822591,20260000
P,273.45739070848634,111233.73049030689,99.65496418203692,523.6301932984792,0.0,2365.486816661032,451.3222152073741,27099.842695438056,92,61,33.69565217391305,2.236826883311943,0.9672131147540983,3.278688524590164,26.08695652173913,3342.8556171639784,6.285530988524038,4.600734436721702,5.555014778136277,66.30434782608695,33.69565217391305,96.72131147540983,77.17391304347827,0.8837781228472951,0.9881626223981487,0.05446063077331694,5.635126887321684,3555.8355839382,212.9799667742216,20260000
B5,285.7328291584221,120811.45223467983,99.86283214462188,538.8537802367899,112.97619047619047,8372.8116161068,444.03220589238197,26804.206168778594,91,91,0.0,1.5925376134250506,0.8461538461538461,15.384615384615385,0.0,2917.5113483690425,6.4147805690377915,6.4147805690377915,5.967342390136769,100.0,0.0,84.61538461538461,84.61538461538461,0.9302488722590649,0.9302488722590649,0.447438178901023,3.9993427617700257,4667.314226571258,1749.802878202215,20260001
P,285.88966742880825,119410.33452284668,99.84578206850759,538.8537802367899,43.45238095238095,4562.411696458778,451.66364974865246,26729.73604598099,91,66,27.472527472527474,1.803942830602554,0.9242424242424242,7.575757575757576,24.175824175824175,3355.82374062848,6.4147805690377915,4.937090716934748,5.722623534842903,72.52747252747253,27.472527472527474,92.42424242424242,75.82417582417582,0.8920996553591058,0.9781740619883389,0.10775663594576508,3.964271996619747,3777.2291562020973,421.405415573617,20260001
B5,281.2393678580431,115617.96358146549,99.5986902594703,535.5163026699795,173.8095238095238,13006.31613928557,443.15770085046273,26913.836287667596,92,92,0.0,1.5087648686522122,0.8586956521739131,14.130434782608695,0.0,3202.247753929971,7.602791429918203,7.602791429918203,7.018025865190886,100.0,0.0,85.86956521739131,85.86956521739131,0.9230854127569289,0.9230854127569289,0.5847655647273168,4.18794388339255,5489.098801702871,2286.8510477728996,20260002
P,282.5433771637778,115322.02290891137,99.57812442750823,535.5163026699795,43.45238095238095,4671.537100830616,464.39335939959665,27713.13607490369,92,66,28.260869565217394,1.7442362584530968,0.9090909090909091,9.090909090909092,21.73913043478261,2781.204001519751,7.602791429918203,5.421709358704838,6.693329304779966,71.73913043478261,28.260869565217394,90.9090909090909,76.08695652173914,0.8803778673239203,0.9426431784687946,0.31097201608130093,4.062795952590093,3997.326707266267,1216.122705746516,20260002
B5,291.30899572444474,119599.17951157106,99.2205497335116,521.6773071843686,156.42857142857142,18384.552959861376,479.7259440888442,28359.411302192766,92,92,0.0,1.5328074208119566,0.7934782608695652,20.652173913043477,0.0,2920.483514533022,7.265414529937883,7.265414529937883,6.676837362519959,100.0,0.0,79.34782608695652,79.34782608695652,0.9189891829306324,0.9189891829306324,0.5885771674179221,4.3966459932647535,5222.240651399539,2301.7571368665167,20260003
P,292.32076720684097,117693.40653534567,99.22136685257892,522.0675300718726,86.9047619047619,10760.374332244655,497.2893512335671,28984.941599090536,92,65,29.34782608695652,1.8033839932654674,0.9076923076923077,9.230769230769232,20.652173913043477,3283.49675442508,7.265414529937883,5.36392987797883,5.930783155914296,70.65217391304348,29.34782608695652,90.76923076923077,67.3913043478261,0.8163034788277941,0.963774947898498,0.19430863929858527,4.719004094194278,4043.3823259677615,759.8855715426815,20260003
B5,287.02422143744644,118624.92167802407,99.70697062453561,544.5015779674826,34.76190476190476,9160.281665635153,445.8566607016907,26295.38753726104,92,92,0.0,1.6120935399472835,0.8804347826086957,11.956521739130435,0.0,4694.565401542562,8.079759425163148,8.079759425163148,7.733496866807888,100.0,0.0,88.04347826086956,88.04347826086956,0.957144446989736,0.957144446989736,0.34626255835526043,5.404433865473511,6048.699335110455,1354.1339335678933,20260004
P,285.58447946613114,117456.16136877937,99.6860662138379,544.5015779674839,34.76190476190476,9379.84260621695,446.7242399304021,26299.941886727225,92,74,19.565217391304344,1.750208550268246,0.9324324324324325,6.756756756756757,18.478260869565215,4641.992844870229,8.079759425163148,6.930242617533962,7.332068753199226,80.43478260869566,19.565217391304344,93.24324324324324,75.0,0.9074612704884064,0.9760644599902558,0.1658790994492188,5.4794100895917275,5290.69860878771,648.7057639174807,20260004
