controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed,variant
B5,279.29587949244336,116913.64698331144,98.09392730743785,517.6491477315658,34.76190476190476,9688.147409468414,471.93971003625825,28307.14689964954,92,92,0.0,1.9328083854377223,0.782608695652174,21.73913043478261,0.0,3400.772753678362,6.285530988524038,6.285530988524038,5.962612483610171,100.0,0.0,78.26086956521739,78.26086956521739,0.9486251033518975,0.9486251033518975,0.3229185049138683,5.987952916239152,4663.614763966526,1262.8420102881637,20260000,base
P,279.4139619748707,114739.85450846788,98.01297237444012,517.6491432581818,8.69047619047619,6613.3617622244265,483.30033550577565,28121.29210656256,92,65,29.34782608695652,2.274811851729452,0.8615384615384616,13.846153846153847,23.91304347826087,3044.3412059121465,6.285530988524038,4.673497176780214,5.520930707002373,70.65217391304348,29.34782608695652,86.15384615384616,69.56521739130434,0.8783554988563969,0.9721411769348758,0.1301981309432769,5.902328545568285,3553.5088965653185,509.16769065317214,20260000,base
B5,290.0583689321646,124752.44417530468,98.59323982781665,538.9056363251499,52.14285714285714,11159.409581311538,498.22632392250017,29292.88605200449,91,91,0.0,1.4689512351882692,0.5934065934065934,40.65934065934066,0.0,1192.6349907285473,6.4147805690377915,6.4147805690377915,5.599788828386892,100.0,0.0,59.34065934065934,59.34065934065934,0.8729509557061672,0.8729509557061672,0.8149917406509004,3.5838830262052137,4379.834833631176,3187.199842902628,20260001,base
P,289.49159898483373,123688.46300733314,98.52847089141552,538.9056363251499,43.45238095238095,9715.829107736095,508.76774223161044,29772.369173151666,91,60,34.065934065934066,1.675728020939229,0.6666666666666666,33.33333333333333,27.472527472527474,1605.9790130743816,6.4147805690377915,4.644575703537789,5.433705171658165,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470601781587072,0.9070144986250792,0.43187820046723646,3.384343642755092,3294.9312613301813,1688.9522482557998,20260001,base
B5,286.30400708349987,118617.12543110596,98.33926292713689,535.5316985229326,156.42857142857142,16190.10043351769,474.1526482882358,28341.90458043607,92,92,0.0,1.4809412043614631,0.6956521739130435,30.434782608695656,0.0,2003.0394513668325,7.602791429918203,7.602791429918203,6.762486805283976,100.0,0.0,69.56521739130434,69.56521739130434,0.8894741974207666,0.8894741974207666,0.8403046246342263,4.266830908037263,5289.2307512756815,3286.1912999088486,20260002,base
P,287.6005306841794,118052.49011744373,98.35395890253125,535.5316985229326,43.45238095238095,8640.020202969625,491.49893510394287,28886.91586844547,92,67,27.173913043478258,1.753962042769494,0.7761194029850746,22.388059701492537,19.565217391304348,2031.8149875641145,7.602791429918203,5.308646978671198,6.542412458633667,72.82608695652173,27.173913043478258,77.61194029850746,67.3913043478261,0.8605276784114089,0.9148906595986038,0.4518154427785695,4.369067044467332,3798.736094144592,1766.921106580477,20260002,base
B5,295.18438411999415,122026.3913101711,97.70173337029591,554.2918736471063,104.28571428571428,24430.79521214027,482.1113641050931,28985.16175280104,92,92,0.0,1.5639199492168798,0.7065217391304348,29.347826086956523,0.0,2214.617036158956,7.265414529937883,7.265414529937883,6.526424414312396,100.0,0.0,70.65217391304348,70.65217391304348,0.8982865860467559,0.8982865860467559,0.7389901156254858,4.476531150820912,5104.596238337195,2889.979202178239,20260003,base
P,298.06197707044953,120814.34509563238,97.60979566965254,569.6707171834688,52.14285714285714,14994.650407317613,493.3870757244381,29720.92839890525,92,62,32.608695652173914,1.8282370854759091,0.7580645161290323,24.193548387096776,23.91304347826087,2454.794377667115,7.265414529937883,4.998268532176912,5.860703090357679,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.806657771033993,0.9379879041795505,0.3099531071536921,4.448350914074884,3666.9324217145895,1212.1380440474745,20260003,base
B5,290.71985972492274,119535.51576090873,97.17616818833689,535.4516104090785,26.07142857142857,18069.85749121648,479.6947364431046,26797.344338714043,92,92,0.0,1.6136727354872464,0.7065217391304348,29.347826086956523,0.0,3513.697339708455,8.079759425163148,8.079759425163148,7.481865925168962,100.0,0.0,70.65217391304348,70.65217391304348,0.9260010764513432,0.9260010764513432,0.5978934999941872,5.775637344019433,5851.887991471437,2338.190651762982,20260004,base
P,289.696505972344,118000.07423305877,97.00204340694785,535.4516104090785,26.07142857142857,16125.985507536494,486.98794982785466,27276.947295410442,92,67,27.173913043478258,1.8571199833671295,0.746268656716418,25.37313432835821,22.82608695652174,3214.1527470582073,8.079759425163148,6.186949262731776,6.979712675116717,72.82608695652173,27.173913043478258,74.6268656716418,61.95652173913043,0.863851546542276,0.944034608518303,0.3462550375661802,5.74147173537667,4568.257268968805,1354.1045219105974,20260004,base
